word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1900,1,1750,513,4.9153,True,"the proposal to tax sugar substantial modification probable tim dv ily 'rulegmph says --the leaders of the oppo,itirn intend to raise a full drew, deb.ue ,in the sreonil readi..."
sugar,1900,1,1750,535,4.9552,True,hints for householders to brown pastry. if the oven is out of trim and will rot brown pastry properly. place a little sugar at the bottom ~1 tho oven. this will have the desired effect.— mrs e. m. p.-
sugar,1900,1,1750,564,5.0083,True,"their yearly sale of sugar coat.ed pills exceeds 2,000,000 boxes. all grocers, &c., obtain they from parkinsons manc7actuilinti ciii.iiistb. ogston's balmoral toilet soap. real..."
sugar,1900,1,1750,629,5.1182,True,"offs ytar's production of sancliarine in germany ii øgiven as equivalent to 50,000 iii;.•ric tons of sugar. flie sugar producers demand ii a: it be acid iil se a drug and i. el. ford.tuffe in franca! "
sugar,1900,1,1750,637,5.1288,True,"""knocked"" ok soger. there was no act of the conservative adminis- tration to which radicals vowed more inflexible and enduring hostility than the sugar convention, in virtue of which sugar bounties we"
sugar,1900,1,1750,648,5.1497,True,"23 sad 25, londias road, sheffield. 1 „i j 6. 81lvee-plated tea se'l`, pretty 41esign. hand...mely chnued, put. sugar begin, and cream jug; never bera ut4ed worth double.—tu rn mrs' bar ga jun, '4 and"
sugar,1900,1,1750,665,5.182,True,"canary pudding. use the %eifrli of threw ages is sugar, batter sad ilolll, mid the mad of oae maio,. melt the 'nutter, hut do wet ellqw it to bell. stir iate it the sugar sad grated rind lif uri imes."
sugar,1900,1,1750,681,5.2145,True,"...ends in council. i do not know whether ""j. l.,"" this recipe will suit pt/ ashton-in- for apple wine. t_lhn makerfield. ingredients are forty pou'l of sugar and fiftee.n gallons of cider. you cln re"
sugar,1900,1,1750,687,5.2226,True,"phosphorised reliable. sugar coated pills exceeds 2,000,000 boxes. all groups, &c., obtain them from par,kinsons manufacturing chemists. burnley. baagains tlfs""&""-rirr.teina:7ll,..."
sugar,1900,1,1750,697,5.2349,True,"sugar now less d. per lb. a william parker's. 11, market place, ripon. est olished 1815. grandidge's nkandidges— boys' new and second ts hand suits from 11..."
sugar,1900,1,1750,700,5.241,True,"sugar now less per lb. -'i. william parker's, market place, ripon. e,t oilished 1815 grandidge'si bandidges let out on hire, for the day iittk, oitiigbt or..."
sugar,1900,1,1750,704,5.2422,True,sugar is d. per lb. dearer.—advt. popular health lectures. there was a decided improvement in the attend- ance at the second of the series of popular healt...
